Keyword,Co-occurring Word,Frequency,Category
covid-19,reporting,10,Other
covid-19,management,30,Other
covid-19,was,102,Other
covid-19,results,114,Other
covid-19,has,104,Other
covid-19,data,97,Other
covid-19,world,28,Other
covid-19,systems,52,Other
covid-19,affect,10,Other
covid-19,through,52,Other
covid-19,such,67,Other
covid-19,satisfaction,17,Other
covid-19,study,97,Other
covid-19,based,47,Other
covid-19,change,13,Other
covid-19,more,49,Other
covid-19,from,111,Other
covid-19,addressing,11,Other
covid-19,not,54,Other
covid-19,information,74,Other
covid-19,theory,13,Other
covid-19,first,34,Other
covid-19,can,89,Other
covid-19,they,38,Other
covid-19,how,44,Other
covid-19,structural,11,Other
covid-19,crisis,20,Other
covid-19,behavior,14,Other
covid-19,towards,12,Other
covid-19,for,196,Other
covid-19,that,154,Other
covid-19,pandemic,155,Other
covid-19,enable,13,Other
covid-19,them,23,Other
covid-19,applications,48,Other
covid-19,modeling,15,Other
covid-19,pandemics,17,Other
covid-19,mobile,48,Other
covid-19,and,206,Other
covid-19,indicate,10,Other
covid-19,who,34,Other
covid-19,these,78,Other
covid-19,regarding,23,Other
covid-19,both,41,Other
covid-19,also,52,Other
covid-19,human,14,Other
covid-19,their,79,Other
covid-19,moreover,14,Other
covid-19,literature,14,Other
covid-19,during,99,Other
covid-19,patients,81,Other
covid-19,application,29,Other
covid-19,primary,15,Other
covid-19,equation,11,Other
covid-19,usefulness,16,Other
covid-19,help,46,Other
covid-19,unified,10,Other
covid-19,perceived,22,Other
covid-19,offers,11,Other
covid-19,effort,10,Other
covid-19,role,35,Other
covid-19,into,27,Other
covid-19,use,163,Other
covid-19,effects,12,Other
covid-19,this,182,Other
covid-19,prevention,17,Other
covid-19,investigate,16,Other
covid-19,acceptance,22,Other
covid-19,studies,23,Other
covid-19,using,118,Other
covid-19,affected,10,Other
covid-19,mental,20,Other
covid-19,will,35,Other
covid-19,with,160,Other
covid-19,finally,10,Other
covid-19,care,73,Other
covid-19,providing,21,Other
covid-19,individuals,28,Other
covid-19,technology,70,Other
covid-19,purpose,26,Other
covid-19,improving,19,Other
covid-19,paper,45,Other
covid-19,automated,20,Other
covid-19,patient,63,Other
covid-19,diagnosis,19,Other
covid-19,field,10,Other
covid-19,propose,20,Other
covid-19,intelligence,17,Other
covid-19,medical,67,Other
covid-19,there,45,Other
covid-19,less,19,Other
covid-19,artificial,18,Other
covid-19,new,39,Other
covid-19,without,16,Other
covid-19,devices,28,Other
covid-19,training,14,Other
covid-19,virtual,27,Other
covid-19,facilitate,12,Other
covid-19,exposure,18,Other
covid-19,proposed,35,Other
covid-19,detection,14,Other
covid-19,disease,62,Other
covid-19,system,77,Other
covid-19,monitoring,53,Other
covid-19,including,42,Other
covid-19,potential,28,Other
covid-19,performance,22,Other
covid-19,telemedicine,56,Other
covid-19,coronavirus,51,Other
covid-19,computer,10,Other
covid-19,algorithm,10,Other
covid-19,remote,39,Other
covid-19,performed,16,Other
covid-19,users,38,Other
covid-19,our,56,Other
covid-19,especially,22,Other
covid-19,utilization,15,Other
covid-19,clinical,22,Other
covid-19,where,14,Other
covid-19,increasing,24,Other
covid-19,even,12,Other
covid-19,authors,30,Other
covid-19,when,22,Other
covid-19,provider,15,Other
covid-19,technologies,39,Other
covid-19,safety,24,Other
covid-19,staff,10,Other
covid-19,different,31,Other
covid-19,while,35,Other
covid-19,reduce,22,Other
covid-19,evaluate,20,Other
covid-19,analysis,60,Other
covid-19,novel,25,Other
covid-19,experience,20,Other
covid-19,one,27,Other
covid-19,least,11,Other
covid-19,ease,15,Other
covid-19,understanding,16,Other
covid-19,within,21,Other
covid-19,adults,11,Other
covid-19,significantly,29,Other
covid-19,influence,14,Other
covid-19,usage,17,Other
covid-19,model,41,Other
covid-19,indicated,13,Other
covid-19,governments,14,Other
covid-19,offer,16,Other
covid-19,aims,16,Other
covid-19,comprehensive,12,Other
covid-19,intention,14,Other
covid-19,social,59,Other
covid-19,survey,49,Other
covid-19,variables,19,Other
covid-19,enhancing,10,Other
covid-19,author,50,Other
covid-19,telehealth,42,Other
covid-19,researchers,14,Other
covid-19,examine,18,Other
covid-19,adoption,31,Other
covid-19,findings,42,Other
covid-19,apps,33,Other
covid-19,framework,31,Other
covid-19,understand,25,Other
covid-19,negative,12,Other
covid-19,total,21,Other
covid-19,were,108,Other
covid-19,responses,15,Other
covid-19,value,17,Other
covid-19,medicine,14,Other
covid-19,evaluation,21,Other
covid-19,may,50,Other
covid-19,respiratory,16,Other
covid-19,participants,28,Other
covid-19,perceptions,13,Other
covid-19,healthcare,77,Other
covid-19,home,14,Other
covid-19,included,31,Other
covid-19,physical,20,Other
covid-19,provide,43,Other
covid-19,providers,33,Other
covid-19,among,48,Other
covid-19,via,22,Other
covid-19,provided,14,Other
covid-19,improve,33,Other
covid-19,access,47,Other
covid-19,distancing,14,Other
covid-19,background,36,Other
covid-19,diverse,10,Other
covid-19,identify,27,Other
covid-19,descriptive,13,Other
covid-19,factors,33,Other
covid-19,used,85,Other
covid-19,existing,24,Other
covid-19,platform,14,Other
covid-19,content,12,Other
covid-19,conclusions,33,Other
covid-19,case,26,Other
covid-19,services,43,Other
covid-19,implementation,36,Other
covid-19,benefits,19,Other
covid-19,explore,25,Other
covid-19,conducted,41,Other
covid-19,conditions,24,Other
covid-19,qualitative,15,Other
covid-19,centers,10,Other
covid-19,general,12,Other
covid-19,methods,68,Other
covid-19,program,14,Other
covid-19,engagement,12,Other
covid-19,digital,67,Other
covid-19,problems,13,Other
covid-19,increased,23,Other
covid-19,method,27,Other
covid-19,internet,28,Other
covid-19,showed,20,Other
covid-19,areas,21,Other
covid-19,present,33,Other
covid-19,advantages,12,Other
covid-19,over,18,Other
covid-19,which,64,Other
covid-19,common,10,Other
covid-19,due,33,Other
covid-19,all,67,Other
covid-19,limited,30,Other
covid-19,many,39,Other
covid-19,three,28,Other
covid-19,better,24,Other
covid-19,still,13,Other
covid-19,low,17,Other
covid-19,area,16,Other
covid-19,essential,11,Other
covid-19,compared,24,Other
covid-19,outcomes,19,Other
covid-19,public,53,Other
covid-19,available,26,Other
covid-19,research,72,Other
covid-19,most,41,Other
covid-19,examined,10,Other
covid-19,however,53,Other
covid-19,level,19,Other
covid-19,potentially,12,Other
covid-19,video,15,Other
covid-19,other,40,Other
covid-19,about,45,Other
covid-19,usability,11,usability
covid-19,selected,12,Other
covid-19,assess,22,Other
covid-19,activities,10,Other
covid-19,useful,17,Other
covid-19,features,24,Other
covid-19,designed,10,Other
covid-19,conclusion,27,Other
covid-19,design,34,Other
covid-19,developing,14,Other
covid-19,user,28,Other
covid-19,determine,17,Other
covid-19,impact,29,Other
covid-19,symptoms,18,Other
covid-19,given,11,Other
covid-19,development,25,Other
covid-19,main,13,Other
covid-19,implementing,11,Other
covid-19,tools,16,Other
covid-19,suggest,11,Other
covid-19,questionnaire,14,Other
covid-19,mean,13,Other
covid-19,two,32,Other
covid-19,education,12,Other
covid-19,effective,24,Other
covid-19,app,33,Other
covid-19,developed,23,Other
covid-19,aimed,17,Other
covid-19,monitor,12,Other
covid-19,symptom,10,Other
covid-19,out,16,Other
covid-19,test,17,Other
covid-19,smartphone,23,Other
covid-19,analyzed,24,Other
covid-19,are,98,Other
covid-19,lockdown,10,Other
covid-19,significant,44,Other
covid-19,review,25,Other
covid-19,differences,12,Other
covid-19,report,13,Other
covid-19,regression,10,Other
covid-19,online,39,Other
covid-19,its,47,Other
covid-19,between,51,Other
covid-19,living,13,Other
covid-19,include,10,Other
covid-19,implications,16,Other
covid-19,likely,15,Other
covid-19,risk,28,Other
covid-19,characteristics,11,Other
covid-19,mitigate,10,Other
covid-19,completed,15,Other
covid-19,effectiveness,23,Other
covid-19,article,27,Other
covid-19,united,12,Other
covid-19,higher,13,Other
covid-19,methodology,12,Other
covid-19,should,27,Other
covid-19,collected,26,Other
covid-19,only,28,Other
covid-19,reducing,14,Other
covid-19,after,30,Other
covid-19,approach,44,Other
covid-19,further,26,Other
covid-19,revealed,15,Other
covid-19,states,11,Other
covid-19,trust,12,Other
covid-19,increase,30,Other
covid-19,mhealth,21,Other
covid-19,been,59,Other
covid-19,contact,43,Other
covid-19,worldwide,15,Other
covid-19,furthermore,14,Other
covid-19,privacy,41,ethical consideration
covid-19,could,35,Other
covid-19,media,17,Other
covid-19,have,80,Other
covid-19,tracing,29,Other
covid-19,analyze,14,Other
covid-19,well,31,Other
covid-19,distributed,12,Other
covid-19,concerns,24,Other
covid-19,government,15,Other
covid-19,support,44,Other
covid-19,communication,28,Other
covid-19,positive,24,Other
covid-19,particular,17,Other
covid-19,mary,19,Other
covid-19,inc,25,Other
covid-19,strategies,15,Other
covid-19,interventions,12,Other
covid-19,global,18,Other
covid-19,emerging,12,Other
covid-19,some,18,Other
covid-19,current,31,Other
covid-19,interest,10,Other
covid-19,liebert,19,Other
covid-19,aim,20,Other
covid-19,ann,21,Other
covid-19,recent,13,Other
covid-19,years,23,Other
covid-19,time,51,Other
covid-19,associated,23,Other
covid-19,assessment,17,Other
covid-19,center,11,Other
covid-19,key,25,Other
covid-19,scores,15,Other
covid-19,evaluated,10,Other
covid-19,published,24,Other
covid-19,discussion,16,Other
covid-19,workers,10,Other
covid-19,under,36,Other
covid-19,those,29,Other
covid-19,high,25,Other
covid-19,age,18,Other
covid-19,but,35,Other
covid-19,identified,32,Other
covid-19,address,21,Other
covid-19,screening,13,Other
covid-19,additional,11,Other
covid-19,citizens,10,Other
covid-19,continuous,15,Other
covid-19,countries,21,Other
covid-19,efforts,20,Other
covid-19,work,32,Other
covid-19,control,34,Other
covid-19,collection,14,Other
covid-19,utility,11,utility
covid-19,authorities,11,Other
covid-19,need,43,Other
covid-19,often,12,Other
covid-19,widespread,11,Other
covid-19,concern,11,Other
covid-19,thus,17,Other
covid-19,changes,21,Other
covid-19,per,12,Other
covid-19,around,25,Other
covid-19,range,20,Other
covid-19,point,10,Other
covid-19,smart,19,Other
covid-19,therefore,19,Other
covid-19,manage,14,Other
covid-19,systematic,12,Other
covid-19,learning,30,Other
covid-19,electronic,18,Other
covid-19,limitations,10,Other
covid-19,things,18,Other
covid-19,issues,20,Other
covid-19,ieee,23,Other
covid-19,machine,23,Other
covid-19,environment,12,Other
covid-19,future,41,Other
covid-19,describe,11,Other
covid-19,security,24,ethical consideration
covid-19,challenges,39,Other
covid-19,addition,24,Other
covid-19,secure,16,Other
covid-19,nature,19,Other
covid-19,transmission,11,Other
covid-19,licence,13,Other
covid-19,springer,13,Other
covid-19,part,15,Other
covid-19,severe,15,Other
covid-19,had,25,Other
covid-19,led,13,Other
covid-19,techniques,14,Other
covid-19,order,17,Other
covid-19,virus,30,Other
covid-19,exclusive,13,Other
covid-19,objective,41,Other
covid-19,respectively,10,Other
covid-19,obtained,11,Other
covid-19,challenge,15,Other
covid-19,face,15,Other
covid-19,needed,22,Other
covid-19,population,20,Other
covid-19,outbreak,20,Other
covid-19,situations,11,Other
covid-19,dataset,10,Other
covid-19,infection,25,Other
covid-19,show,18,Other
covid-19,focus,17,Other
covid-19,any,19,Other
covid-19,oxygen,12,Other
covid-19,tool,17,Other
covid-19,way,14,Other
covid-19,having,12,Other
covid-19,solution,14,Other
covid-19,reliable,12,Other
covid-19,play,16,Other
covid-19,perspective,11,Other
covid-19,ongoing,12,Other
covid-19,since,19,Other
covid-19,personal,17,Other
covid-19,processing,10,Other
covid-19,device,12,Other
covid-19,requires,10,Other
covid-19,because,15,Other
covid-19,saturation,14,Other
covid-19,status,17,Other
covid-19,infected,14,Other
covid-19,network,22,Other
covid-19,real,11,Other
covid-19,neural,12,Other
covid-19,accuracy,12,Other
covid-19,enhance,12,Other
covid-19,crucial,11,Other
covid-19,iot,19,Other
covid-19,several,25,Other
covid-19,distance,17,Other
covid-19,very,10,Other
covid-19,tracking,24,Other
covid-19,being,22,Other
covid-19,resources,21,Other
covid-19,efficient,11,Other
covid-19,across,14,Other
covid-19,national,15,Other
covid-19,require,13,Other
covid-19,large,10,Other
covid-19,stakeholders,11,Other
covid-19,rapid,30,Other
covid-19,local,10,Other
covid-19,overall,25,Other
covid-19,made,20,Other
covid-19,service,25,Other
covid-19,advanced,10,Other
covid-19,response,26,Other
covid-19,uses,19,Other
covid-19,wearable,17,Other
covid-19,whether,13,Other
covid-19,each,19,Other
covid-19,highly,20,Other
covid-19,find,10,Other
covid-19,classification,11,Other
covid-19,number,29,Other
covid-19,found,21,Other
covid-19,outpatient,12,Other
covid-19,appointments,10,Other
covid-19,guidelines,10,Other
covid-19,before,12,Other
covid-19,than,35,Other
covid-19,relevant,18,Other
covid-19,rate,31,Other
covid-19,light,11,Other
covid-19,record,14,Other
covid-19,community,11,Other
covid-19,needs,33,Other
covid-19,rates,10,Other
covid-19,treatment,21,Other
covid-19,respondents,22,Other
covid-19,switzerland,13,Other
covid-19,continuity,10,Other
covid-19,sample,14,Other
covid-19,direct,12,Other
covid-19,reported,33,Other
covid-19,experiences,11,Other
covid-19,unique,10,Other
covid-19,phone,11,Other
covid-19,presented,11,Other
covid-19,continue,12,Other
covid-19,guide,12,Other
covid-19,diabetes,10,Other
covid-19,models,13,Other
covid-19,technological,14,Other
covid-19,communities,14,Other
covid-19,benefit,10,Other
covid-19,practice,17,Other
covid-19,must,13,Other
covid-19,visits,19,Other
covid-19,compare,11,Other
covid-19,questions,13,Other
covid-19,scale,12,Other
covid-19,related,36,Other
covid-19,measures,30,Other
covid-19,although,14,Other
covid-19,known,10,Other
covid-19,architecture,10,Other
covid-19,enabling,10,Other
covid-19,demonstrated,10,Other
covid-19,lower,11,Other
covid-19,smartphones,10,Other
covid-19,emergency,19,Other
covid-19,professionals,14,Other
covid-19,important,18,Other
covid-19,applied,16,Other
covid-19,spread,40,Other
covid-19,importance,20,Other
covid-19,process,19,Other
covid-19,lack,24,Other
covid-19,equipment,10,Other
covid-19,relationship,10,Other
covid-19,four,14,Other
covid-19,recommendations,11,Other
covid-19,ways,12,Other
covid-19,search,16,Other
covid-19,reserved,31,Other
covid-19,barriers,15,Other
covid-19,rights,36,Other
covid-19,body,12,Other
covid-19,temperature,10,Other
covid-19,various,29,Other
covid-19,specific,10,Other
covid-19,context,14,Other
covid-19,proposes,12,Other
covid-19,currently,11,Other
covid-19,telephone,11,Other
covid-19,period,15,Other
covid-19,transition,11,Other
covid-19,march,11,Other
covid-19,faced,13,Other
covid-19,populations,13,Other
covid-19,safe,10,Other
covid-19,integrated,11,Other
covid-19,received,11,Other
covid-19,required,13,Other
covid-19,consultations,10,Other
covid-19,ensure,19,Other
covid-19,quality,21,Other
covid-19,implemented,14,Other
covid-19,objectives,12,Other
covid-19,almost,12,Other
covid-19,sensors,11,Other
covid-19,greater,12,Other
covid-19,groups,10,Other
covid-19,develop,12,Other
covid-19,decision,13,Other
covid-19,implement,10,Other
covid-19,perception,10,Other
covid-19,surveillance,13,Other
covid-19,terms,16,Other
covid-19,possible,13,Other
covid-19,created,12,Other
covid-19,database,11,Other
covid-19,presents,10,Other
covid-19,science,15,Other
covid-19,considering,10,Other
covid-19,times,10,Other
covid-19,group,11,Other
covid-19,platforms,12,Other
covid-19,ehealth,11,Other
covid-19,fight,13,Other
covid-19,considered,17,Other
covid-19,would,10,Other
covid-19,efficiency,14,Other
covid-19,unprecedented,13,Other
covid-19,algorithms,11,Other
covid-19,testing,12,Other
covid-19,same,10,Other
covid-19,university,12,Other
covid-19,critical,21,Other
covid-19,against,20,Other
covid-19,delivery,23,Other
covid-19,solutions,15,Other
covid-19,cases,19,Other
covid-19,provides,13,Other
covid-19,academic,13,Other
covid-19,tests,16,Other
covid-19,means,10,Other
covid-19,exposed,10,Other
covid-19,others,14,Other
covid-19,scientific,10,Other
covid-19,wide,10,Other
covid-19,copyright,18,Other
covid-19,heart,13,Other
covid-19,according,11,Other
covid-19,early,17,Other
covid-19,life,10,Other
covid-19,particularly,15,Other
covid-19,effect,15,Other
covid-19,improvement,13,Other
covid-19,networks,10,Other
covid-19,like,10,Other
covid-19,rapidly,11,Other
covid-19,maintain,11,Other
fog computing,allows,12,Other
fog computing,has,28,Other
fog computing,method,12,Other
fog computing,patient,26,Other
fog computing,been,13,Other
fog computing,internet,48,Other
fog computing,heart,10,Other
fog computing,efficient,24,Other
fog computing,through,11,Other
fog computing,design,14,Other
fog computing,computing,67,Other
fog computing,medical,29,Other
fog computing,simulation,11,Other
fog computing,such,35,Other
fog computing,smart,38,Other
fog computing,present,12,Other
fog computing,healthcare,39,Other
fog computing,based,42,Other
fog computing,its,21,Other
fog computing,fog,67,Other
fog computing,can,31,Other
fog computing,which,28,Other
fog computing,for,64,Other
fog computing,that,55,Other
fog computing,need,10,Other
fog computing,proposed,50,Other
fog computing,have,24,Other
fog computing,solution,18,Other
fog computing,monitoring,31,Other
fog computing,system,43,Other
fog computing,techniques,14,Other
fog computing,mobile,17,Other
fog computing,and,67,Other
fog computing,well,10,Other
fog computing,performance,25,Other
fog computing,architecture,19,Other
fog computing,also,22,Other
fog computing,things,48,Other
fog computing,several,14,Other
fog computing,high,18,Other
fog computing,ieee,15,Other
fog computing,use,32,Other
fog computing,this,62,Other
fog computing,device,16,Other
fog computing,using,38,Other
fog computing,recent,10,Other
fog computing,with,46,Other
fog computing,digital,10,Other
fog computing,technology,15,Other
fog computing,time,30,Other
fog computing,efficiency,14,Other
fog computing,nature,13,Other
fog computing,communication,11,Other
fog computing,data,50,Other
fog computing,systems,19,Other
fog computing,show,22,Other
fog computing,sensors,19,Other
fog computing,information,19,Other
fog computing,physical,10,Other
fog computing,main,10,Other
fog computing,devices,33,Other
fog computing,springer,13,Other
fog computing,consumption,22,Other
fog computing,part,13,Other
fog computing,furthermore,15,Other
fog computing,cloud,44,Other
fog computing,sensor,13,Other
fog computing,applications,37,Other
fog computing,access,12,Other
fog computing,under,10,Other
fog computing,challenging,10,Other
fog computing,storage,27,Other
fog computing,used,18,Other
fog computing,iot,44,Other
fog computing,patients,21,Other
fog computing,compared,14,Other
fog computing,our,28,Other
fog computing,processing,18,Other
fog computing,proposes,11,Other
fog computing,research,19,Other
fog computing,energy,20,Other
fog computing,security,24,ethical consideration
fog computing,analysis,13,Other
fog computing,other,20,Other
fog computing,secure,14,Other
fog computing,years,10,Other
fog computing,are,36,Other
fog computing,intelligence,12,Other
fog computing,more,14,Other
fog computing,from,31,Other
fog computing,large,13,Other
fog computing,solutions,17,Other
fog computing,issues,22,Other
fog computing,process,13,Other
fog computing,latency,36,Other
fog computing,service,20,Other
fog computing,analytics,10,Other
fog computing,most,11,Other
fog computing,however,23,Other
fog computing,technologies,17,Other
fog computing,approach,13,Other
fog computing,response,12,Other
fog computing,challenges,13,Other
fog computing,paper,39,Other
fog computing,network,28,Other
fog computing,science,10,Other
fog computing,requirements,13,Other
fog computing,llc,10,Other
fog computing,business,10,Other
fog computing,work,16,Other
fog computing,new,14,Other
fog computing,uses,13,Other
fog computing,various,14,Other
fog computing,media,10,Other
fog computing,their,23,Other
fog computing,existing,13,Other
fog computing,some,18,Other
fog computing,services,28,Other
fog computing,computational,13,Other
fog computing,computation,11,Other
fog computing,increasing,17,Other
fog computing,related,10,Other
fog computing,further,11,Other
fog computing,parameters,12,Other
fog computing,management,16,Other
fog computing,results,28,Other
fog computing,quality,10,Other
fog computing,key,14,Other
fog computing,model,16,Other
fog computing,development,15,Other
fog computing,then,13,Other
fog computing,analyze,10,Other
fog computing,these,26,Other
fog computing,better,12,Other
fog computing,remote,24,Other
fog computing,low,16,Other
fog computing,into,13,Other
fog computing,framework,22,Other
fog computing,number,17,Other
fog computing,resources,18,Other
fog computing,problem,20,Other
fog computing,user,15,Other
fog computing,first,11,Other
fog computing,due,10,Other
fog computing,nodes,11,Other
fog computing,algorithms,14,Other
fog computing,become,14,Other
fog computing,algorithm,12,Other
fog computing,users,24,Other
fog computing,environment,16,Other
fog computing,terms,15,Other
fog computing,care,12,Other
fog computing,huge,10,Other
