Keyword,Co-occurring Word,Frequency
covid-19,people,40
covid-19,reporting,10
covid-19,management,30
covid-19,was,102
covid-19,results,114
covid-19,has,104
covid-19,on,141
covid-19,data,97
covid-19,world,28
covid-19,systems,52
covid-19,affect,10
covid-19,is,141
covid-19,through,52
covid-19,such,67
covid-19,satisfaction,17
covid-19,it,72
covid-19,so,14
covid-19,study,97
covid-19,based,47
covid-19,change,13
covid-19,more,49
covid-19,from,111
covid-19,the,206
covid-19,addressing,11
covid-19,not,54
covid-19,of,206
covid-19,information,74
covid-19,theory,13
covid-19,first,34
covid-19,can,89
covid-19,to,206
covid-19,they,38
covid-19,how,44
covid-19,structural,11
covid-19,crisis,20
covid-19,behavior,14
covid-19,towards,12
covid-19,for,196
covid-19,that,154
covid-19,in,203
covid-19,pandemic,155
covid-19,enable,13
covid-19,them,23
covid-19,as,143
covid-19,applications,48
covid-19,modeling,15
covid-19,pandemics,17
covid-19,mobile,48
covid-19,and,206
covid-19,indicate,10
covid-19,who,34
covid-19,these,78
covid-19,regarding,23
covid-19,both,41
covid-19,also,52
covid-19,human,14
covid-19,their,79
covid-19,moreover,14
covid-19,literature,14
covid-19,during,99
covid-19,patients,81
covid-19,application,29
covid-19,primary,15
covid-19,equation,11
covid-19,usefulness,16
covid-19,help,46
covid-19,unified,10
covid-19,perceived,22
covid-19,offers,11
covid-19,effort,10
covid-19,role,35
covid-19,into,27
covid-19,use,163
covid-19,effects,12
covid-19,this,182
covid-19,prevention,17
covid-19,investigate,16
covid-19,acceptance,22
covid-19,studies,23
covid-19,using,118
covid-19,affected,10
covid-19,mental,20
covid-19,will,35
covid-19,with,160
covid-19,finally,10
covid-19,health,161
covid-19,care,73
covid-19,providing,21
covid-19,be,104
covid-19,individuals,28
covid-19,technology,70
covid-19,by,142
covid-19,purpose,26
covid-19,improving,19
covid-19,an,131
covid-19,paper,45
covid-19,automated,20
covid-19,patient,63
covid-19,diagnosis,19
covid-19,field,10
covid-19,ai,16
covid-19,propose,20
covid-19,intelligence,17
covid-19,medical,67
covid-19,there,45
covid-19,less,19
covid-19,artificial,18
covid-19,new,39
covid-19,without,16
covid-19,devices,28
covid-19,training,14
covid-19,virtual,27
covid-19,facilitate,12
covid-19,exposure,18
covid-19,proposed,35
covid-19,detection,14
covid-19,disease,62
covid-19,system,77
covid-19,monitoring,53
covid-19,including,42
covid-19,potential,28
covid-19,performance,22
covid-19,we,101
covid-19,telemedicine,56
covid-19,coronavirus,51
covid-19,computer,10
covid-19,algorithm,10
covid-19,remote,39
covid-19,performed,16
covid-19,users,38
covid-19,our,56
covid-19,especially,22
covid-19,utilization,15
covid-19,clinical,22
covid-19,where,14
covid-19,increasing,24
covid-19,even,12
covid-19,authors,30
covid-19,when,22
covid-19,provider,15
covid-19,technologies,39
covid-19,safety,24
covid-19,staff,10
covid-19,different,31
covid-19,while,35
covid-19,reduce,22
covid-19,evaluate,20
covid-19,analysis,60
covid-19,novel,25
covid-19,experience,20
covid-19,one,27
covid-19,least,11
covid-19,ease,15
covid-19,understanding,16
covid-19,within,21
covid-19,adults,11
covid-19,significantly,29
covid-19,influence,14
covid-19,usage,17
covid-19,model,41
covid-19,indicated,13
covid-19,governments,14
covid-19,offer,16
covid-19,aims,16
covid-19,comprehensive,12
covid-19,intention,14
covid-19,social,59
covid-19,survey,49
covid-19,variables,19
covid-19,enhancing,10
covid-19,author,50
covid-19,telehealth,42
covid-19,researchers,14
covid-19,examine,18
covid-19,adoption,31
covid-19,findings,42
covid-19,apps,33
covid-19,framework,31
covid-19,understand,25
covid-19,negative,12
covid-19,total,21
covid-19,were,108
covid-19,responses,15
covid-19,value,17
covid-19,medicine,14
covid-19,evaluation,21
covid-19,may,50
